"","home_pm","h1","h2","h3","h4","h5","a1","a2","a3","a4","a5"
"1",-3,"Lance Stephenson","Blake Griffin","DeAndre Jordan","JJ Redick","Chris Paul","Jeremy Evans","Dirk Nowitzki","Zaza Pachulia","John Jenkins","Raymond Felton"
"2",5,"Lance Stephenson","Blake Griffin","DeAndre Jordan","JJ Redick","Chris Paul","Jeremy Evans","Dirk Nowitzki","John Jenkins","Raymond Felton","Dwight Powell"
"3",4,"Blake Griffin","DeAndre Jordan","JJ Redick","Chris Paul","Paul Pierce","Jeremy Evans","Dirk Nowitzki","John Jenkins","Raymond Felton","Dwight Powell"
"4",0,"Blake Griffin","DeAndre Jordan","JJ Redick","Chris Paul","Paul Pierce","Jeremy Evans","Dirk Nowitzki","John Jenkins","Dwight Powell","Jose Juan Barea"
"5",0,"Blake Griffin","DeAndre Jordan","JJ Redick","Chris Paul","Paul Pierce","Jeremy Evans","Dirk Nowitzki","Dwight Powell","Jose Juan Barea","Devin Harris"
"6",1,"Blake Griffin","DeAndre Jordan","JJ Redick","Chris Paul","Paul Pierce","Jeremy Evans","Dwight Powell","Jose Juan Barea","Devin Harris","Charlie Villanueva"
"7",0,"Blake Griffin","DeAndre Jordan","JJ Redick","Chris Paul","Paul Pierce","Dwight Powell","Jose Juan Barea","Devin Harris","Charlie Villanueva","Justin Anderson"
"8",0,"DeAndre Jordan","JJ Redick","Chris Paul","Paul Pierce","Josh Smith","Dwight Powell","Jose Juan Barea","Devin Harris","Charlie Villanueva","Justin Anderson"
"9",0,"DeAndre Jordan","JJ Redick","Paul Pierce","Josh Smith","Austin Rivers","Dwight Powell","Jose Juan Barea","Devin Harris","Charlie Villanueva","Justin Anderson"
"10",0,"DeAndre Jordan","Paul Pierce","Josh Smith","Austin Rivers","Jamal Crawford","Dwight Powell","Jose Juan Barea","Devin Harris","Charlie Villanueva","Justin Anderson"
"11",0,"Paul Pierce","Josh Smith","Austin Rivers","Jamal Crawford","Wesley Johnson","Dwight Powell","Jose Juan Barea","Devin Harris","Charlie Villanueva","Justin Anderson"
"12",-2,"Paul Pierce","Josh Smith","Austin Rivers","Jamal Crawford","Wesley Johnson","Jose Juan Barea","Devin Harris","Charlie Villanueva","Justin Anderson","Salah Mejri"
"13",0,"Paul Pierce","Austin Rivers","Jamal Crawford","Wesley Johnson","Chris Paul","Jose Juan Barea","Devin Harris","Charlie Villanueva","Justin Anderson","Salah Mejri"
"14",0,"Paul Pierce","Austin Rivers","Jamal Crawford","Wesley Johnson","Chris Paul","Jose Juan Barea","Devin Harris","Justin Anderson","Salah Mejri","Jeremy Evans"
"15",0,"Paul Pierce","Josh Smith","Austin Rivers","Jamal Crawford","Wesley Johnson","Dirk Nowitzki","Zaza Pachulia","Jose Juan Barea","Devin Harris","Justin Anderson"
"16",1,"Paul Pierce","Josh Smith","Austin Rivers","Jamal Crawford","Wesley Johnson","Dirk Nowitzki","Zaza Pachulia","Jose Juan Barea","Devin Harris","John Jenkins"
"17",0,"Paul Pierce","Austin Rivers","Jamal Crawford","Wesley Johnson","Blake Griffin","Dirk Nowitzki","Zaza Pachulia","Jose Juan Barea","Devin Harris","John Jenkins"
